price,location,make,model,year,fuel,mileage_km,trans,body_type,color,reg,hp,euro,len_text
4500.0,Охрид,Mercedes-Benz,270,2003,Дизел,190000,Рачен,Седани,Сива,Македонска,197.0, 3,19
4800.0,Тетово,VW Volkswagen,Passat,2006,Дизел,200000,Рачен,Каравани,Црна,Македонска,140.0, 4,62
,Скопје,BMW,320,2005,Дизел,350000,Рачен,Моноволумен,Сива,Македонска,163.0, 4,20
1200.0,Скопје,Suzuki,Swift,2000,Бензин,90000,Рачен,Хеџбек,Црвена,Македонска,53.0,Останато,22
,Скопје,Peugeot,207,2007,Бензин,100000,Рачен,Хеџбек,Сива,Македонска,1.0, 4,20
,Скопје,Renault,Clio,2012,Дизел,130000,Рачен,Хеџбек,Црна,Македонска,1.0, 5,15
,Скопје,VW Volkswagen,Golf,2007,Бензин / Плин,180000,Рачен,Хеџбек,Сива,Македонска,102.0, 4,15
,Скопје,Nissan,Qashqai,2010,Дизел,150000,Рачен,Теренци - SUV,Златна,Македонска,106.0, 1,19
5900.0,Ресен,Mercedes-Benz,E 280,2005,Дизел,190000,Автоматски,Седани,Сива,Македонска,190.0, 4,7
8900.0,Струмица,VW Volkswagen,Touran,2012,Дизел,160000,Рачен,Моноволумен,Бела,Македонска,105.0, 5,53
2000.0,Струмица,Citroen,C3,2007,Дизел,180000,Рачен,Maли градски,Сива,Странска,68.0, 4,15
2999.0,Струмица,Ford,Fiesta,2006,Дизел,160000,Рачен,Maли градски,Црна,Македонска,68.0, 4,44
6.0,Битола,Opel,Insignia,2009,Дизел,200000,Рачен,Седани,Црна,Македонска,162.0, 5,36
2100.0,Гостивар,VW Volkswagen,Golf,1999,Бензин / Плин,170000,Рачен,Каравани,Црвена,Македонска,75.0, 3,32
1200.0,Гостивар,Zastava,Друг модел,1980,Бензин,90000,Рачен,Седани,Зелена,Македонска,61.0, 1,3
15000.0,Гостивар,Mercedes-Benz,CLS 320,2007,Дизел,200000,Автоматски,Седани,Сива,Македонска,224.0, 4,13
5500.0,Гостивар,VW Volkswagen,Golf,2005,Дизел,300000,Автоматски,Седани,Сива,Македонска,140.0, 4,24
,Скопје,Audi,A3,2008,Дизел,170000,Рачен,Хеџбек,Сива,Македонска,140.0, 4,14
11111.0,Тетово,VW Volkswagen,Passat,1998,Дизел,350000,Рачен,Седани,Сина,Македонска,105.0,Останато,4
,Скопје,Ford,Focus,2007,Дизел,120000,Рачен,Хеџбек,Сива,Македонска,109.0, 4,21
4100.0,Тетово,Jaguar,X-Type,2006,Дизел,200000,Рачен,Седани,Црна,Македонска,156.0, 4,6
4100.0,Тетово,VW Volkswagen,Golf,2004,Дизел,200000,Рачен,Седани,Сива,Македонска,75.0, 4,4
,Скопје,Opel,Corsa,2014,Бензин / Плин,90000,Рачен,Хеџбек,Сива,Македонска,86.0, 5,9
,Скопје,Mercedes-Benz,B 180,2007,Дизел,180000,Рачен,Моноволумен,Црна,Македонска,107.0, 4,15
